captive_time,div_time,div_time_dom,div_time_scot,mig_rate_captive,mig_rate_scot,mig_length_scot,pop_size_captive,pop_size_domestic_1,pop_size_lyb_1,pop_size_lyb_2,pop_size_scot_1,pop_size_eu_1,pop_size_eu_2,mutation_rate,recombination_rate
33.357888,95501.40902,4530.165691,4637.517503,0.30223062,0.119306423,19.84600429,69.78948451,85131.1404,4144.966272,31692.33188,3765.396047,1227.849245,68458.17614,9.00E-09,1.28E-08
17.80656896,74928.53527,2523.975726,3762.001087,0.023545677,0.047908611,95.64343169,124.6050097,384178.5333,1862.98904,74558.90241,1755.592418,5876.975373,48662.26449,2.72E-09,3.03E-08
4.027050168,86170.43045,1879.173007,2693.110924,0.062190617,0.041394393,18.43088449,156.6653062,4889.748437,10423.1039,40957.53619,10757.70021,24975.95577,253497.752,2.22E-08,1.66E-08
14.60671799,48507.25337,2540.735543,2109.303826,0.06493139,0.041761845,11.70032893,70.89343139,388217.3694,5755.832161,125379.1391,7194.368916,4877.28707,75407.19388,2.39E-08,2.06E-08
22.45113483,129515.3242,7605.312754,3543.676871,0.133650031,0.230677374,43.96532827,180.9897985,314705.4236,9607.170746,6500.379165,668.7072199,2666.833708,54550.5821,1.02E-08,8.90E-09
48.84692826,61324.03899,6225.905386,2151.871867,0.053175721,0.086878262,47.63672339,72.45574466,78818.94662,1363.331929,687386.7271,7740.578285,56830.33098,32908.27719,5.82E-08,1.82E-08
11.08001183,72554.7708,4675.011346,3053.549107,0.043812238,0.056388821,5.914012742,182.2665373,76523.825,86023.27488,138728.886,1982.510757,11756.73623,47850.13258,4.24E-09,1.56E-08
34.97701619,78903.21559,2223.809785,2144.331557,0.038328515,0.018747451,19.24773121,101.3692588,22146.20189,18602.66379,59213.43218,5757.125521,24133.02946,167551.4212,8.48E-09,1.60E-08
62.17247042,85899.69398,2884.898491,4145.463773,0.049790479,0.129729153,37.56109479,50.44922511,199678.8704,7512.413431,363260.1616,5412.768064,86199.63901,20467.07298,2.47E-09,1.26E-08
32.46799123,74912.85537,2843.789046,3190.801735,0.14566609,0.067765599,44.25728938,129.9117561,12181.52771,33746.33116,83122.46687,3779.132667,5715.928524,25060.9319,4.73E-09,1.12E-08
