bottleneck_strength_domestic,bottleneck_strength_wild,bottleneck_time_domestic,bottleneck_time_wild,captive_time,div_time,mig_length_post_split,mig_length_wild,mig_rate_captive,mig_rate_post_split,mig_rate_wild,pop_size_wild_1,pop_size_wild_2,pop_size_captive,pop_size_domestic_1,pop_size_domestic_2,mutation_rate,recombination_rate
36032.7051884107,16607.390948455297,3404.6961311471923,3481.093019356287,19.46455958567808,64282.82609023626,2687.287649667181,19.81616431618661,0.25165740440714895,0.02317486062881345,0.12228597956654072,4944.221758536812,8060.1990503416355,87.47140732309522,10735.277684788165,11008.917480199041,5.5847586260822215e-09,1.3488579196728898e-08
38701.668697687455,6851.671957579209,3916.773862491011,3889.584004870463,13.48514121198937,54354.567012069674,1757.6281808643057,7.090982858609598,0.09010857721304745,0.07095130078991797,0.1873804814684106,8007.861066386385,8924.565067495194,56.47008599664075,5332.620531782593,9905.473855294793,1.7752308757670278e-08,2.5527451954286912e-08
6578.724565098783,65364.74402644003,3305.83366142415,2882.982354091877,16.533611622257652,56431.30687785694,2170.8978718525004,9.799201355245048,0.05836239128585537,0.017730893391742664,0.039969675287030805,6019.586457006941,8679.690896313714,134.21676045422944,7067.009733093018,7326.993713897599,4.0558636167859145e-09,2.9164188408043636e-08
15916.671455885888,49980.637757236516,4003.4225378730407,2664.7469132888464,40.49148220564578,66783.7740145631,1895.0605416621975,13.07563972384307,0.06704033551653785,0.02903994106366887,0.043341693929774654,4762.81009583836,7476.19361248138,86.11233963430773,6148.259860060466,7891.982502093287,2.823296880965942e-08,1.5701135349289348e-08
9035.483309215713,2935.541042029157,4137.059253295981,3237.872222144306,15.490389875270255,48084.94161467355,684.2300943915388,15.682239171278129,0.08422899209778019,0.014866581941838953,0.07954687108561595,7991.5019690739455,9298.973462475193,86.7911867918787,9577.390800452229,8108.386137225199,6.250977110264996e-09,1.6588783004759764e-08
4561.745938073504,8351.035420989869,3949.771981830093,3122.4418679124483,22.419054969938866,57407.40742910425,41966.9646911633,14.8137053825359,0.10161434082798185,0.007208427077050553,0.10242960320120519,5533.706026315281,6721.16528558499,132.6901641414359,4530.961511978429,13099.570703728219,4.069518468411069e-09,8.308520532306971e-09
5406.7878258896635,8680.2587701052,2808.8275908673736,3850.821151502459,11.740155641465465,45760.99155209399,1246.9068672415092,13.471393510616386,0.28397178449511,0.029291379783430133,0.10177639897535383,5528.293283341274,10934.655935706282,97.88274795103791,5367.118904415209,10164.139108387311,1.8910056090571565e-09,9.234959337950343e-09
39509.92522621573,6134.149114455798,3337.53459865581,3802.7716084202866,21.384213372640872,58152.79654732283,7140.730277718087,17.074631094201166,0.10038365967802143,0.017794080475206035,0.08115697424059735,7773.8455684129285,9313.487184407599,114.95413731440397,6329.036223761396,13429.566974943396,3.696079152666965e-09,1.102137138890637e-08
12513.513605799057,3389.5728971796043,2739.4246263915884,3315.7409880893047,24.94657771656185,79664.02034945082,5859.295382673877,9.49986318030683,0.09545017405771423,0.02186996807052359,0.0354568073366319,6187.218424588642,9975.851401529797,276.3183713746866,8149.210400513197,8183.031967235716,1.3650024785520163e-08,1.0475248392708606e-08
53707.135397043196,4425.149623544271,4146.626350423402,3777.1331899692277,22.083332976745368,68652.6996070183,40940.60870066902,9.32275149465112,0.1251312142314895,0.10961945462393072,0.1419815778793619,5124.91242104214,8254.763216739171,59.50993336420671,5277.651045335888,12741.001218064475,6.04266888072946e-10,3.391440379646977e-08
301651.7699675833,2223.0193621368276,3099.86082829831,3485.9150026428865,23.916266093757436,63342.98330988522,1048.253593260616,27.187185569565866,0.17589967244415722,0.03144988078182708,0.12809150738311428,8028.154474889012,5949.714970923104,132.45092673172962,5038.395231904622,10302.070528296526,1.2216267062316488e-08,2.325041601304585e-08
57189.2623191235,7469.514465813034,3809.9356178660387,3155.295666362696,18.576215652674513,69042.04027612886,2746.8532595339857,11.094660702748513,0.049636391440973385,0.025575054664325074,0.09122936508600382,6437.222149627889,7697.047539518642,137.35476717933633,5422.493767874011,12320.904534228617,1.7422186454412237e-08,1.6944302589869532e-08
7191.572298870723,7694.740366834621,3294.7076477159667,3726.4346349404864,17.473755198627263,59459.312861062506,47232.04664074877,14.995931634227532,0.1111206885658065,0.07168964515425481,0.12311391448996407,5552.337569488453,6269.294329810094,417.03152172561346,6659.502344954797,7900.441117886575,1.8291626223810403e-08,2.30550638981497e-08
86778.89515959812,7670.339438266202,3958.8352191913123,3005.812250875276,20.501345247664727,66715.17868926426,19193.167099454815,14.173525943070983,0.10356439192279412,0.008603363272485494,0.06543247690623108,7198.236488266601,7040.034610305804,82.32848998666053,9563.711690930893,13177.19417195279,7.375645097714099e-09,1.1893703287575403e-08
7445.357329254269,1270.684900050111,3455.0602175683375,3789.0499951031015,11.591770660163512,76719.5453415,448.5533550873317,12.158421422611223,0.04294819716029331,0.21378046617986815,0.09149838903950099,5992.342235098811,8717.932053275646,96.06100050129845,6207.509122327009,12834.400260141847,4.268137472996966e-08,6.66439497742771e-09
46031.52703548946,17299.043481792527,2814.0033127708166,3323.5251397948955,25.914934813579656,88525.9743841307,54.06787645847411,14.659158363363705,0.1019502836745659,0.015415501466731388,0.06502435591968525,6787.3681360213195,6617.077142652364,72.96436517984736,9773.222088363425,11680.447989075994,8.975353884950496e-09,1.2166138725631995e-08
11804.196988819152,4210.309047119049,3068.1360556484797,3737.095851522111,15.46576935670982,52596.71780021016,9088.809046649338,11.189440908649017,0.07997763870134054,0.024971421672501964,0.09706442235885998,4470.65983247475,6665.498610835737,106.97304254042422,6453.68847975857,9092.027887431084,1.2100592773731458e-08,8.769620316971595e-09
27304.22123982376,5803.388671591098,2825.4511316034364,3389.747084839822,18.298421037265996,60280.58873686972,18968.74986370046,12.748532388152213,0.13822622738156443,0.017690922236878223,0.044730681565873266,5032.46841856557,8237.753148407282,167.34258741832946,7023.201391016969,9384.912156455623,1.0176526619698094e-08,1.821716853460881e-08
